Datetime,TairF,TairC
5/12/2022 14:15,82,27.77777778
5/12/2022 14:20,83,28.33333333
5/12/2022 14:25,81,27.22222222
5/12/2022 14:30,82,27.77777778
5/12/2022 14:35,82,27.77777778
5/12/2022 14:40,82,27.77777778
5/12/2022 14:45,83,28.33333333
5/12/2022 14:50,83,28.33333333
5/12/2022 14:55,83,28.33333333
5/12/2022 15:00,82,27.77777778
5/12/2022 15:05,82,27.77777778
5/12/2022 15:10,83,28.33333333
5/12/2022 15:15,82,27.77777778
5/12/2022 15:20,82,27.77777778
5/12/2022 15:25,82,27.77777778
5/12/2022 15:30,82,27.77777778
5/12/2022 15:35,82,27.77777778
5/12/2022 15:40,83,28.33333333
5/12/2022 15:45,82,27.77777778
5/12/2022 15:50,82,27.77777778
5/12/2022 15:55,82,27.77777778
5/12/2022 16:00,83,28.33333333
5/12/2022 16:05,83,28.33333333
5/12/2022 16:10,82,27.77777778
5/12/2022 16:15,83,28.33333333
5/12/2022 16:20,82,27.77777778
5/12/2022 16:25,83,28.33333333
5/12/2022 16:30,82,27.77777778
5/12/2022 16:35,83,28.33333333
5/12/2022 16:40,83,28.33333333
5/12/2022 16:45,82,27.77777778
5/12/2022 16:50,83,28.33333333
5/12/2022 16:55,83,28.33333333
5/12/2022 17:00,82,27.77777778
5/12/2022 17:05,82,27.77777778
5/12/2022 17:10,82,27.77777778
5/12/2022 17:15,82,27.77777778
5/12/2022 17:20,82,27.77777778
5/12/2022 17:25,82,27.77777778
5/12/2022 17:30,81,27.22222222
5/12/2022 17:35,81,27.22222222
5/12/2022 17:40,81,27.22222222
5/12/2022 17:45,81,27.22222222
5/12/2022 17:50,81,27.22222222
5/12/2022 17:55,80,26.66666667
5/12/2022 18:00,80,26.66666667
5/12/2022 18:05,80,26.66666667
5/12/2022 18:10,79,26.11111111
5/12/2022 18:15,79,26.11111111
5/12/2022 18:20,79,26.11111111
5/12/2022 18:25,78,25.55555556
5/12/2022 18:30,78,25.55555556
5/12/2022 18:35,78,25.55555556
5/12/2022 18:40,77,25
5/12/2022 18:45,77,25
5/12/2022 18:50,76,24.44444444
5/12/2022 18:55,76,24.44444444
5/12/2022 19:00,76,24.44444444
5/12/2022 19:05,75,23.88888889
5/12/2022 19:10,75,23.88888889
5/12/2022 19:15,75,23.88888889
5/12/2022 19:20,74,23.33333333
5/12/2022 19:25,74,23.33333333
5/12/2022 19:30,74,23.33333333
5/12/2022 19:35,73,22.77777778
5/12/2022 19:40,73,22.77777778
5/12/2022 19:45,73,22.77777778
5/12/2022 19:50,72,22.22222222
5/12/2022 19:55,72,22.22222222
5/12/2022 20:00,72,22.22222222
5/12/2022 20:05,72,22.22222222
5/12/2022 20:10,72,22.22222222
5/12/2022 20:15,73,22.77777778
5/12/2022 20:20,72,22.22222222
5/12/2022 20:25,72,22.22222222
5/12/2022 20:30,72,22.22222222
5/12/2022 20:35,72,22.22222222
5/12/2022 20:40,72,22.22222222
5/12/2022 20:45,71,21.66666667
5/12/2022 20:50,71,21.66666667
5/12/2022 20:55,71,21.66666667
5/12/2022 21:00,71,21.66666667
5/12/2022 21:05,71,21.66666667
5/12/2022 21:10,71,21.66666667
5/12/2022 21:15,70,21.11111111
5/12/2022 21:20,70,21.11111111
5/12/2022 21:25,70,21.11111111
5/12/2022 21:30,70,21.11111111
5/12/2022 21:35,70,21.11111111
5/12/2022 21:40,70,21.11111111
5/12/2022 21:45,70,21.11111111
5/12/2022 21:50,70,21.11111111
5/12/2022 21:55,70,21.11111111
5/12/2022 22:00,70,21.11111111
5/12/2022 22:05,69,20.55555556
5/12/2022 22:10,69,20.55555556
5/12/2022 22:15,69,20.55555556
5/12/2022 22:20,69,20.55555556
5/12/2022 22:25,70,21.11111111
5/12/2022 22:30,70,21.11111111
5/12/2022 22:35,69,20.55555556
5/12/2022 22:40,69,20.55555556
5/12/2022 22:45,68,20
5/12/2022 22:50,67,19.44444444
5/12/2022 22:55,66,18.88888889
5/12/2022 23:00,67,19.44444444
5/12/2022 23:05,67,19.44444444
5/12/2022 23:10,64,17.77777778
5/12/2022 23:15,63,17.22222222
5/12/2022 23:20,62,16.66666667
5/12/2022 23:25,60,15.55555556
5/12/2022 23:30,59,15
5/12/2022 23:35,58,14.44444444
5/12/2022 23:40,59,15
5/12/2022 23:45,59,15
5/12/2022 23:50,58,14.44444444
5/12/2022 23:55,58,14.44444444
5/13/2022 0:00,56,13.33333333
5/13/2022 0:05,57,13.88888889
5/13/2022 0:10,58,14.44444444
5/13/2022 0:15,58,14.44444444
5/13/2022 0:20,57,13.88888889
5/13/2022 0:25,57,13.88888889
5/13/2022 0:30,57,13.88888889
5/13/2022 0:35,57,13.88888889
5/13/2022 0:40,56,13.33333333
5/13/2022 0:45,56,13.33333333
5/13/2022 0:50,55,12.77777778
5/13/2022 0:55,54,12.22222222
5/13/2022 1:00,54,12.22222222
5/13/2022 1:05,53,11.66666667
5/13/2022 1:10,53,11.66666667
5/13/2022 1:15,53,11.66666667
5/13/2022 1:20,54,12.22222222
5/13/2022 1:25,54,12.22222222
5/13/2022 1:30,55,12.77777778
5/13/2022 1:35,55,12.77777778
5/13/2022 1:40,53,11.66666667
5/13/2022 1:45,54,12.22222222
5/13/2022 1:50,53,11.66666667
5/13/2022 1:55,53,11.66666667
5/13/2022 2:00,52,11.11111111
5/13/2022 2:05,53,11.66666667
5/13/2022 2:10,53,11.66666667
5/13/2022 2:15,54,12.22222222
5/13/2022 2:20,52,11.11111111
5/13/2022 2:25,51,10.55555556
5/13/2022 2:30,52,11.11111111
5/13/2022 2:35,53,11.66666667
5/13/2022 2:40,53,11.66666667
5/13/2022 2:45,52,11.11111111
5/13/2022 2:50,54,12.22222222
5/13/2022 2:55,52,11.11111111
5/13/2022 3:00,53,11.66666667
5/13/2022 3:05,51,10.55555556
5/13/2022 3:10,51,10.55555556
5/13/2022 3:15,53,11.66666667
5/13/2022 3:20,53,11.66666667
5/13/2022 3:25,52,11.11111111
5/13/2022 3:30,52,11.11111111
5/13/2022 3:35,52,11.11111111
5/13/2022 3:40,52,11.11111111
5/13/2022 3:45,51,10.55555556
5/13/2022 3:50,52,11.11111111
5/13/2022 3:55,52,11.11111111
5/13/2022 4:00,52,11.11111111
5/13/2022 4:05,52,11.11111111
5/13/2022 4:10,51,10.55555556
5/13/2022 4:15,51,10.55555556
5/13/2022 4:20,51,10.55555556
5/13/2022 4:25,52,11.11111111
5/13/2022 4:30,51,10.55555556
5/13/2022 4:35,51,10.55555556
5/13/2022 4:40,48,8.888888889
5/13/2022 4:45,50,10
5/13/2022 4:50,47,8.333333333
5/13/2022 4:55,47,8.333333333
5/13/2022 5:00,47,8.333333333
5/13/2022 5:05,49,9.444444444
5/13/2022 5:10,51,10.55555556
5/13/2022 5:15,49,9.444444444
5/13/2022 5:20,50,10
5/13/2022 5:25,48,8.888888889
5/13/2022 5:30,49,9.444444444
5/13/2022 5:35,49,9.444444444
5/13/2022 5:40,51,10.55555556
5/13/2022 5:45,50,10
5/13/2022 5:50,51,10.55555556
5/13/2022 5:55,50,10
5/13/2022 6:00,51,10.55555556
5/13/2022 6:05,51,10.55555556
5/13/2022 6:10,54,12.22222222
5/13/2022 6:15,54,12.22222222
5/13/2022 6:20,55,12.77777778
5/13/2022 6:25,57,13.88888889
5/13/2022 6:30,57,13.88888889
5/13/2022 6:35,59,15
5/13/2022 6:40,60,15.55555556
5/13/2022 6:45,62,16.66666667
5/13/2022 6:50,63,17.22222222
5/13/2022 6:55,63,17.22222222
